,text,mark
0,спасибо блокировке инстаграма))),0
1,"Санкции и блокировки от РКН кому то в плюс, кому то в минус",0
2,"люблю вк, но это не ваша заслуга",0
3,"Пушка 🔥🔥🔥 Спасибо, любимый ВК ❤",0
4,"Ну так, блокировка мессенджеров и т.д = ваша выгода.",0
5,ВК - РУЛИТ !!!,0
6,Клипы кто-то смотрит?😏,0
7,,0
8,Вк - лучшие 🙏🏻❤,0
9,Разве это заслуга вк?,0
10,"Что значит Q1?
Квартал?

Вы тоже заметили?! :)",0
11,"Просмотры клипов выросли только потому, что в мобильном приложении у них абсолютно неудобное расположение. Попробуйте для эксперимента передвинуть кнопку с клипами куда-нибудь в другое меню,- я без навыков аналитики и реальной статистики гарантирую падение просмотров минимум на 10%. Про то, что этот рак постится некоторыми группами прямо в ленту, показывается в виде подборки, а также создаëт (создавал как минимум) уведомления, упоминать не приходится. Кстати, господа, а что там с переносом аккаунтов из Инстаграма? Говаривают, что до сих пор не работает.",0
12,Любимый ВК спасибо что ты с нами любимый сайт❤,0
13,"Новых пабликов +68% 
Охваты упали в разы! Ужас какой-то. В паблике где 4000 подписчиков - видят запись всего 50-70 человек 🫣😱 Как это вообще возможно? Что с алгоритмами в Вк?",0
14,"Спасибо руководству страны, которое озабочено проблемой нацизма в других отдельно взятых странах",0
15,"и то, миссклики по видео и клипам",0
16,"Эффективность не выросла, а в процентном соотношении получается что даже упала.",0
17,Сделайте  музыку бесплатно,0
18,Неудивительно с ситуацией в мире),0
19,,0
20,Только ВК!!! 🍒,0
21,"Вё возвращаться, получается эффект бумеранга.",0
22,ВК виснет,0
23,Наконец-то ВК всех победил!!! Осталось решить вопрос с продвижением и рекомендациями и мы вообще ни в какую соцсеть не уйдем!!!,0
24,"Кто хочет выработать регулярность выпуска постов, жду вас. движ бесплатный - на вылет",0
25,Привет,0
26,"Без ВК без Индии,сериалов и музыки дышать не могу. Глюков правда много.",0
27,"Инсту нафиг удалил, вк всегда была любимой платформой.",0
28,А чо с прослушиваниями музыки кста? Интересно стало!,0
29,Количество уголовных дел за картинки и репосты тоже наверное рекордное?,0
30,давай бесплатный музон😊а то ваша реклама бесит.,0
31,Клипы постоянно закрывает реклама. Не смотрю клипы. Без рекламы можно обойтись?,0
32,,0
33,,0
34,Я вместо вашего новноприложения использую vk mp3,0
35,"Хах, а всего лишь надо было заблокировать все остальные соц.сети",0
36,"почему когда я голосовое записываю с ноутбука, больше 4 минут,то потом ""ошибка при загрузке"",чё совсем ошалели? А с телефона хоть 40 минут записывай, отправится. Чё за дела,блин,вечно перезаписывать надо.😬🙄🤬",0
37,,0
38,Спасибо за вашу работу и заботу,0
39,Наши поздравления 🥳 теперь используйте ситуацию ;) мы в вас верим,0
40,"Из-за всего этого, начались всякие баги и ошибки, только сайт, да приложение тормозит! Ну так нельзя, я в жизни в ВК, я не писал так много обращений в поддержку!",0
41,"Что вы сделали, чтобы ваша аудитория била все рекорды?",0
42,"Команда ВКонтакте.
Вы молодцы продолжайте работать и продвигать нашу любимую сотсеть.",0
43,"А админское приложение как не работало, так и не работает. Приходится заходить через браузер, что очень неудобно.",0
44,Осталось наладить рекламу которая от этого прилегла 😂,0
45,клоуны вы зачем вк шатаете кривой поделкой под запад опять,0
46,"шо за?
Позже выдало 54тыс. подписчиков, а после все подписчики/участники исчезли с одноимённой строкой.
Скрываете подписчиков?",0
47,"Как выключить клипы, они мне и нах не нужны. Только места занимает",0
48,"пожалуйста, добавьте индонезийский и автоматический перевод 🙏🇮🇩🇷🇺",0
49,Где новые серверы брать будете?,0
50,ВК займи косарь?,0
51,Охват по моей аудитории вырос с начала месяца в 3раза🤓,0
52,Забавно,0
53,"ВК , вы хоть фильтруйе рекламу в ленте по регионам.",0
54,,0
55,Рынок Садовод,0
56,"Это не ваша заслуга, это потому что инста отвалилась",0
57,🇧🇷👍,0
58,У меня у одного сообщения в мобильной версии не прогружаются вообще?,0
59,"Из русских платформ, К моему удивлению стала самая доступная для незрячих, лучше всяких Яндекс дзен.👍 Хотя вы и дзен покупаете, может быть и его доступность сделайте нормальный, хотя навряд ли с ВК тоже долго всё было.",0
60,"Хватит хвалить, а то растащатся 😁",0
61,"Спасибо не нам, а операции )",0
62,"Как это аудитория вк миллионы ,а просмотры видео вк миллиарды? Вы в своём уме вообще?что это за подсчёты такие непонятные?на кого это рассчитано?",0
63,Забавно,0
64,Забавно,0
65,ВК один из самых крутых приложений,0
66,"Ещё бы вы вовремя блокировали антироссийский контент.., ботов и всякую нечисть.., а то складывается впечатление, что эта враждебная соцсеть. Пожелание такое у меня к вам, иначе сомнения обуревают, кто вы?!?",0
67,,0
68,Почему приложение инфоапп не показывает коментарии пользователя?,0
69,"Умерьте аппетиты по рекламе. Перестал смотреть видео из-за постоянной рекламы. Если так и дальше пойдет придется покинуть ваши сети. Жадность - это грех, а он ведет к смерти! Помните об этом всегда.",0
70,,0
71,"VK, 🍼 не накормишь статистикой, Спасибо ! ""Один, учённый, убеждал , что ему, упало на голову ""Яблоко"", результат!, ЛЮДИ узнали гравитацию, BK , в перёд, сложных ограничений и запусков ( в лимит,  и платных услуг), . ВК,  Я, с тобой. Меня, пока!!! Устраивает. Спасибо.",0
72,Не верю,0
73,"Статистику посаженных в тюрьму людей, за комментарии в ВК будете выкладывать?",0
74,Ok,0
75,"Итоги???? Пропадает на странице запись , вот такие итоги. У кого также, ответьте.",0
76,"Народ, нужна помощь.
Взломали друга, на что можно сказать попал в ловушку мошенника. Теперь списывает даеньги со счета. Может кто знает выход?",0
77,,0
78,"Да, похвастаемся статой, после того как силами государства были заблочены все нормальные конкуренты. Вот если бы в условиях работы других соц сетей такие цифры были тогда да, молодцы ну а так...",0
79,"Я очень рад VK.
Знаю и верю, что там внутри люди работают.
Сделайте ЛИЧНУЮ НАБОРНУЮ ЛЕНТУ.
СДЕЛАЙТЕ Отключаемые нахрен ленты.
Рекламу в отдельную колею. И пусть она там будет хоть в десять слоёв!",0
80,ВК КРУТ! ВМЕСТЕ МЫ СТАНЕМ ЛУЧШЕ),0
81,Заипала ваша реклама,0
82,😊,0
83,"Лента ""Актуальное"" - невообразимая гадость, там крутая и плотная подборка тошнотного дерьма. Галкин, Пугачёва, Гордон, Зеленский .
Это лента врагов народа.",0
84,Еще немного санкций и китай подсядет на вк😁,0
85,"Эх)) мы с вами, потому что сами знаете что - заблокировали 🛑 

Хотя! Признаюсь! Вк мне стал нравится. Я легко адаптирую знания из «запрещенки» и хорошо себя чувствую здесь",0
86,Ещё бы рекламу убрали с видео навязчивую👎👎👎👎,0
87,VK а куда пропал атеизм? Теперь самому писать надо? У VK теперь нет атеистов?,0
88,Была бы возможность - с вами бы не был. Особенно после истории с гифками на аватарках,0
89,Простите но в коментах всех групп кучя ботов просто спамят....што делать будете???,0
90,Уберите капчу при входе на аккаунт.,0
91,Тем временем только клип рамштайна на Ютубе за первые сутки миллиард просмотров,0
92,Уберите капчу при входе на аккаунт!,0
93,"Уберите эту отвратительную рекламу из видео. Во первых, невозможно смотреть, реклама длиннее самого клипа, во вторых, вставляете рекламу в мои личные видео. Как так можно, без моего ведома вставлять в мои же видео рекламу?",0
94,"СПАСИБО!ЗДОРОВО,ЧТО ДЕРЖИТЕ ПЛАТФОРМУ!РЕСПЕКТ!🙌🙌🙌",0
95,у меня профиль в контакте закрыт т.к. все в нем родственники для этого я его и отекрыла...А сейчас по Вашей милости в нем ненужные люди появляются и зачем выставляете на показ ВИЗИТКУ.. УБЕРИТЕ ЭТО ВСЕ С МОЕЙ СТРАНИЦЫ. ПРЕЖДЕ ЧЕМ ЧТО ТО ДЕЛАТЬ НЕ МЕШАЛО БЫ СПРОСИТЬ НАДО ОНО МНЕ ?,0
96,молодцы,0
97,"Когда уже вернут обратно тематические разделы в рекомендациях? Лента ""актуальное"" отвратительная",0
98,"Вы хвастаетесь вк видео и клипами, но при этом нет для них полноценной ""творческой студии""",0
99,"Вы бы вместо приведения такой статистики занялись бы оптимизацией приложения на телефоне. В клипы тыкнешь случайно - всё, лаги и пользоваться невозможно",0
100,Спасибо вам),0
101,Хорошее приложение: несколько лет им уже пользуюсь,0
102,Скрытые диалоги открыты когда выходишь из приложения. Пока не удалишь из диспетчера задач не блокирует,0
103,"Музыка не работает, некоторые треки, а потом ни один. Разные версии пробовал, и через vpn тоже самое...",0
104,У меня друзья и их новости с ленты не скрываются,0
105,"Ребят, как решить проблему?",0
106,Голосовые не записываются(,0
107,Скажите пожалуйста как найти скрытые диалоги?,0
108,"Пользуюсь им около 5 лет, меня все устраивает))))",0
109,У меня видео не идёт,0
110,,0
111,Когда перешёл на iOS и с грустью читаешь Новости  об обновлении Кейта (,0
112,Реклама по прежнему осталась ?,0
113,Не показывает дату регистрации в VK других пользователей,0
114,"Список добавленных друзей показывает слитно. То есть если человек добавил 5 друзей, то посмотреть можно только 1го!!! До последнего обновления такого не было!!!",0
115,Не приходят оповещения уже давным давно (push up),0
116,Приложение после обновления открывается только через настройки- открыть. Появляется вот такая ерунда,0
117,"я не знаю, была ли такая проблема в прошлом, но когда я смотрю историю и пытаюсь ее перемотать/поставить на паузу, я не могу, потому что эта панель перекрывается сенсорной панелью телефона, где обычно кнопки ""назад"" ""на главный экран"" и тд",0
118,Достали с частыми обновлениями,0
119,"Плохо работают видео после обновления
Звук идет, а картинка тормозит
Пробовал со встроенным плеером и без, где галочка в настройках",0
120,ВОПРОС: на официальном сайте этой обновы нет! ПОЧЕМУ?,0
121,Вопрос - планируется реализация функционала по лайкам/реакциям на сториз?,0
122,,0
123,"С каждым обновлением становится всё хуже и хуже, и медленней ... поэтому перестал обновлять",0
124,"А то что комментарии под рекламными постами не открываются, это так и задумано? Upd. Добавил скриншот. При открытии просто белый экран",0
125,не приходят уведомления. хоть убей. все проверил.. все включено,0
126,"Теперь когда в ленте показывается список добавленных у друзей, нельзя просмотреть их страницы. Открывается всегда только самый первый в списке",0
127,,0
128,"У меня тоже проблема с уведомлениями, как обновила до 87 версии. Перешла обратно на 86, там такой проблемы нет. Хотя всё включено.",0
129,,0
130,"при запуске приложения предлагает опубликовать запись на стене, хотя стоит при открытии ""открывать профиль""
подскажите в чем проблема?",0
131,А у меня такую ошибку выдаёт. В чем проблем?,0
132,А вот что пишет когда через оф сайт устанавливаю,0
133,Отдуши за оперативное вмешательство🤤❤️,0
134,Спасибо,0
135,,0
136,"Можно ли как то в выборочном порядке вернуть отображение сначала всех альбомов, а не альбома ""все фото"", при прикреплении из галереи? Галочку в настройкам мб или типа того. 

Просто часто приходится из разных альбомов прикреплять, и часто эти фото сделаны не пару дней назад. Понимаю, что у некоторых не так, но мне - только лишние действия на постоянной основе.",0
137,"Здраствуйте, а почему когда я хочу сделать себе фоновое изображение ставлю какую либо фотку, захожу в сообщения но моей фотки там нет?",0
138,Теперь упоминания работают только на открытых профилях? Неудобно(,0
139,После обновления приложения перестал автоматически обновлять сообщения т.е. во вкладке сообщения новые появляются только после ручного обновления,0
140,"Подскажите пользовался приложением лет 7 а может и больше. Музыку можно было слушать более 30мин, удалив им скачав заново, ограничение по времени 30мин? В чем причина",0
141,Kate легенда 💙,0
142,Я тоже хочу,0
143,"С последним обновлением, перестала работать загрузка видео  в приложение. Исправляйте. Придется откатываться до прежней версии",0
144,У кого такая же проблема?,0
145,"Pro версия (да и в обычной так же сто процентов), последнее обновление. Интерфейс внутреннего проигрывателя уехал слишком вниз. Аж за панель кнопок. Пользоваться в книжном режиме вообще нереально. Нужно бы приподнять обратно)",0
146,"Скажите пожалуйста,у меня одного проблема с воспроизведением голосовых,которые больше двух минут?
В диалогах за 2018-2022 годы они просто не запускаются и не отправляются,и это ошибка не в кейте,а в самом вк.
Половина сообщений не работает,медиа файлы куда то пропали.",0
147,Как установить 87.1 версию,0
148,"Здравствуйте и доброго времени суток, скажите пожалуйста это как понимать?",0
149,У меня не заходит в аккаунт что мне делать? Пароль правильный через браузер заходит а через кейт нет,0
150,"Проблема: когда в Кейт заходишь в сообщения своей группы, где несколько админов отвечают на сообщения, то все сообщения от имени группы выглядят как от твоего имени, будто это ты их писал. Аватарка стоит не автора, не группы, а твоя.",0
151,"И ещё проблема, но до конца не изучена: когда в настройках ""Фильтр новостей"" отключаешь ""Добавил друга"", то из новостей исчезают посты собственной группы. Возможно, дело в совпадении времени публикации. Был случай: и то, и другое было опубликовано одновременно. И со снятием галочки в настройках исчезали обе новости и так же появлялись, если включить.",0
152,"Здравствуйте 
После обновления не открываются упоминания",0
153,"При поиске музыки, не работает ""только по исполнителям""",0
154,"После обновления есть глюк , нельзя выбрать в данном списке конкретного человека , выбирает всегда последнего добавленного , исправьте , в прошлой версии работало",0
155,,0
156,"Почему перестала работать функция ""упоминания"" ?",0
157,Всем привет! А проверка на фейк работает достоверно?,0
158,Благодарю Вас за прилодение😘,0
159,"Подскажите, Кейт рубит в своём приложении всякую лишнюю аналитику ВК ?",0
160,Почему имя на английском не меняется (?,0
161,"Видео не идет, попадаю на браузер интернет",0
162,"Здравствуйте ! у меня перестали открываться видео, в чём дело?",0
163,"Уфффф,у меня похоже и Кейт и контакт умерли.
С сообщениями проблемы,про упоминания слышал,что не работают,так теперь и истории отвалились.
Через браузер истории есть,а тут нет.",0
164,"Реклама в треках даже при наличии подписки на музыку? 
Серьёзно?..",0
165,Почему не играет музыка в кейте если куплена подписка в оф прилоге?,0
166,"Верните пожалуйста эмодзи с головой цыпленка, который заменился на обычного цыпленка в виде сбоку.
🐤",0
167,"Уважаемый разработчики , если можно пожалуйста добавьте звонка , чтобы мы могли звонить друзьями , а так  приложения отлично .",0
168,Как стикеры скрыть?,0
169,"С праздником Пасхи, Кейт Мобайл!",0
170,"Как проверить лицензию, если нет play маркета",0
171,Очень много рекламы в ленте.,0
172,Спасибо 😉🌺❤,0
173,"Здравствуйте,у меня тоже есть проблема.У некоторых друзей перестало показывать ""Упоминания"".Нажимаю и белый экран просто.Пару недель назад ещё всё работало",0
174,,0
175,После обновления перестало блокироваться  приложение после выхода из него. Повторный вход теперь не требует ввода пин-кода или отпечатка,0
176,"Хочу загрузить видео из галереи и выходит общий накопитель, а тут фиг что найдешь. Как сделать, чтоб показывало только видео, как раньше?",0
177,"перестали загружаться гифки, пишет ошибка загрузки файла (почти всегда)",0
178,"Не работают упоминания при переходе на пункта который в троеточии, из той или иной страны",0
179,"В приложение kate mobile существует определённо возможное количество символов, смайлов, превышение которых в том числе и при просмотре записи приводит к зависанию приложения.",0
180,"Ждал 10 версий подряд, когда починят поиск по стене, в котором три-пять постов идут по кругу, а дальше не ищет
Тоже самое и с упоминаниями в открытых профилях
Но нет
Исправлять никто ничего не хочет
Поэтому досвидания кейт",0
181,А в Кате музыку фоновом режиме случашатт и без рекламы можно? Или есть ограничение?,0
182,"Обновила до послед версии. Исчезло всё во вкладке ответы, кроме последнего лайка. Мне поставили еще один недавно и после этого исчезли предыдущие ответы о лайках и тд. То есть у меня во вкладке ответы теперь только одна запись о поставленном лайке. Остальное как ветром сдуло. Что за хрень?",0
183,"Столкнулась с такой проблемой при нажатии на аватарку показывает другое изображение. А точнее самое первое фото которое стояло
Как решить эту проблему?",0
184,"+ Та же проблема и перезагружала,и кэш чистила, проблема осталась..Исправьте или помогите с этим, ава на страницах не открывается, сразу со следующей,независимо от того закрыта стр или открыта",0
185,Что с аватарками ?,0
186,"Зарегистрировал новую страницу через ПК, там даже пароль не нужно теперь делать. Как мне зайти на эту страницу через кейт? Пароля то нет). Нажимаю на кнопку "" не могу войти"". Ничего не происходит",0
187,"кто-то сталкивался с подобным? не грузит гиф любые и все. недели 2 как заметил, думал, что обнова решит дело, но нет",0
188,"Вау
Офигеть
С каждой обновой у меня все меньше треков в аудио
Супер👍
Еще пару обновок и мои аудио будут девственно чисты
К тому же не работают звуковые уведомления, с которыми не было проблем на 86-й",0
189,"Не грузятся до конца вообще видео..Что с аватарками моих друзей? ,нажимаю и появляется самая первая старая фотка",0
190,Сегодня какой то сбой? Щёлкаю на Аватарки и открываются старые у всех,0
191,"Владельцы смартфонов с вшитым AppGallery у Вас тоже встречается постоянная проблема, когда после воспроизведения первого видеоролика через Kate Mobile автоматически включается приложение Huawei Видео и очень настырно не даёт его выключить? Как решить проблему? Подскажите пожалуйста",0
192,"У меня нет уведомлений об общих сообщениях для чата, хотя они включены, и я не могу подключиться в сообщения своей группы, при попытке войти мне выдаёт ошибку.",0
193,Не отображает количество подписчиков при поиске групп(,0
194,"Когда открываешь аватарку человека, чтобы её посмотреть, открывается совсем не та фотка, что стоит на аве. Баг?",0
195,"Ребята в какой версии кэш, и когда слушаю музыку вк в шторке была полоска с музыкой",0
196,"А че за баг, я скачивал Кейт с маркета
Но когда обновлялся через настройки, в маркете снова появился Кейт и кнопка установить
Я установил и у меня есть 2 кейта, это у всех так?",0
197,А в приложении Kate Mobile видео что нельзя перематывать?,0
198,"А то что авы открывает с самой последней это баг или фича? Можно обратно сделать, по нормальному?",0
199,"Доброго времени суток. Последние дни не вижу последний заход друзей и остальных..с другой страницы проблем нет, только на этой и только на Кейт. В чем может быть причина?",0
200,Мир! Труд! Май! Всем Мира и Правды 🎈🎈☀🎈🎉,0
201,Хорошая песенка. 💜,0
202,"Ответьте в личных сообщениях, прошу вас",0
203,Мот поэт,0
204,,0
205,Зацени,0
206,,0
207,А не новую,0
208,"Зачем вам Гугл и эппл пей, сделайте свою платегу, что бы музыку можно было оплатить.",0
209,"Доброго времени суток, подскажите пожалуйста где можно взять .apk файл приложения. В google play пишет что устройство не поддерживается",0
210,"Почему ответа нет от поддержки, я создал вопрос 26 апреля ещё и то два раза",0
211,,0
212,"Ребят, у кого получилось продлить подписку ? Можете пожалуйста написать в ЛС 🙏",0
213,Продлите подписку деньги сняли,0
214,Деньги снимаете и не продлеваете,0
215,Статус ожидания это что,0
216,Продлите подписку,0
217,,0
218,"У меня не продлевается подписка,карта привязана деньги на ней лежат,что делать ?",0
219,https://vk.com/audios627992484?section=all&z=audio_playlist627992484_34,0
220,,0
221,Интересненько,0
222,Адовый колхоз,0
223,Музыка не играет поддержка не отвечает деньги взяли я чек вам предоставил,0
224,Уберите этого вражину! 💩😡,0
