,Unnamed: 0,Unnamed: 0.1,text,mark
67,67.0,,"ЕҢ БИРИНШИ ƏКЕ МЕН АНАСЫ ӨЗДЕРИ АЛЛАНЫҢ ДІНИН БИЛИП ШАРИҒАТПЕН ҰЛ ҚВЗДАРВНА ТƏРБИЕ БЕРИП ӨСИРСЕ БАЛДАРДА ҚЫЗДАРДА БЫЛЫҚҚАДА КУНАЛИ ИСТЕРГЕ ЖАМАНДЫҚТАРҒА АДАСЫП ӨЗГЕЛЕРГЕ ЕРИП КЕТПЕС ЕДИ. АЛЛАНЫҢ ИСЛАМ ДІНИ ОЛ ХАҚ ДІН МЕЙІРІМДІЛІК ПЕН ТЕК БЕЙБІТШИЛИККЕ ШАҚЫРАТЫН ДІН. УАХАБИСТТЕР ӨЗГЕ ҰЛТТАРДЫҢ ТЕРРОРИСТЕРИ ҚАЗАҚТАРДЫҢ ДІНИ БИЛИМСИЗДИГИН АТА АНАНЫҢ БАЛДАРЫН ҚАРАУСЫЗ ҚАЛДЫРҒАНЫН ПАЙДАЛАНЫП ЖАСТАРДЫ АДАСТЫРЫП ӨЗ МУДДЕЛЕРИНЕ ПАЙДАЛАНЫП ЖАТҚАН ИСЛАМ АТЫН ЖАМЫЛҒАН ҚОЙ ТЕРИСИН ЖАМЫЛҒАН ҚАСҚЫРДАЙ ИСЛАМ ДИНИНЕ  ЕШ ҚАТЫСЫ ЖОҚ БАР БОЛҒАНЫ ТЕРРОРИСТТЕРДІҢ САЯСАТЫ. АЛ БИЗДИҢ ЖАСТАРЫМЫЗ АҚИҚАТТЫ АЛЛАНЫҢ ИСЛАМ ДІНИН ІЗДЕП СОЛАРДЫҢ ҚҰРБАНЫ БОЛУДА. ДУНИЕ ЖУЗИНДЕ НЕ БОЛСАДА БАРИ САЯСАТ. СОНДЫҚТАН АРБИР АТА АНА ҰЛ ҚЫЗДАРЫНА ӨЗГЕДЕН УЙРЕНГЕНШЕ ӨЗДЕРИ УЙРЕНИП МЕШИТТЕН ИСЛАМ ДІНИН ИМАМДАРДАН ҚМДБ-НЫҢ ҰЛ ҚЫЗДАРЫНЫҢ ҚҰЛАҒЫНА ҚҰЙЫП САНАЛАРЫНА СИҢИРИП ОТЫРУЛАРЫ КЕРЕК. ИСЛАМ ДІНИН АТА АНАСЫНАН БИЛИП ӨСКЕН БАЛА  ХАҚТЫ ОЛ ЕШҚАШАН ӨЗГЕЛЕРГЕ ЕРИП САЯСАТТЫҢ ҚҰРБАНЫ ТЕРРОРИСТТЕРДИҢ ҚОЛ ШОҚПАРЫ БОЛЫП КЕТПЕЙДИ!!! АРБИР АТА АНА ӨЗ БАЛАСЫНА ЖАУАПТЫ ЕКИ ДУНИЕДЕДЕ ЖАҚСЫҒА УЙРЕТСЕ ЖАҚСЫНЫҢ УЛГИСИ БОЛА АЛСА ЖАҚСЫЛЫҒЫН ЖЕМИСИН КӨРЕДИ ЕШТЕҢЕ УЙРЕТПЕСЕ ЖАҚСЫ УЛГИ БОЛА АЛМАСА ТЕК ЗАРЫН ШЕГЕДИ. АЛЛАҺ ҚАСИЕТТИ ҚҰРАНДА ПЕНДЕЛЕРИН ТЕК ЖАҚСЫЛЫҚҚА БҰЙЫРЫП ҚАНДАЙ БҰЙРЫҚ ҚАНДАЙ ТЫЙЫМ БОЛСАДА, ЖАҚСЫЛЫҚҚА ШАҚЫРЫП ҚАНДАЙ АМАЛ БОЛСАДА БАРЛЫҚ ЖАМАНДЫҚ АТАУЛЫДАН ТЫЙЫП ҚОРҒАП ЕСКЕРТКЕН. ЕГЕР АЙЕЛ АДАМДАРҒА ЖАУЛЫҚ КИУГЕ БУЙЫРСА АЛЛАҺ ҚҰРАНДА БАРЛЫҚ КӨРСЕҚЫЗАРЛЫҚТАН ЗИНАДАН ҚОРҒАУ УШИН. ОДАН ҚОРҚАТЫН ЕШТЕҢЕ ЖОҚ ЖАУЛЫҚ ЖАПСА АРЫН САҚТАП АЛЛАНЫҢ БҰЙРЫҒЫН ОРЫНДАП ЖУР  АЙЕЛ ЗАТЫ. ЕРЛЕР САҚАЛ ҚОЙСА ЕРКЕК ЕКЕНИН АЙЕЛДЕН АЙЫРМАШЫЛЫҒЫ БАР ЕКЕНИН БИЛДИРИП ЖУР АРИНЕ ПАРЫЗ ЕМЕС АМАЛ БИРАҚ САҚАЛ ЕР АДАМНЫҢ ЕРКЕК ЕКЕНИН КӨРСЕТЕДИ. АЙЕЛ АДАМ ЕРКЕККЕ АЛ ЕР КИСИ АЙЕЛ АДАМҒА УҚСАМАУЫ КЕРЕК ИСЛАМ ДИНИНДЕ БАРЛЫҚ АДАМЗАТҚА ТИІСТИ АЙТЫЛҒАН ҚҰРАНДА АЛЛАҺ ЛАҒЫНЕТТЕГЕН ҚАРҒЫС БОЛСЫН ДЕГЕН ЕРКЕККЕ УҚСАП ЖУРГЕН АЙЕЛГЕ. АЙЕЛ КИСИНИҢ ЕР КИСИГЕ УҚСАП ЖУРГЕНГЕ. БҰЛ ЖЕРДЕ ЖУРИС ТУРИСЫ КИІМІ ТУР КЕЛБЕТИ ИС ҚЫЙМЫЛЫ БАРЛЫҒЫ КИРЕД.<br>ИСЛАМ ДІНИНЕ МҰСЫЛМАНДАРҒА ЖАЛА ЖАУЫП ҚАРАЛАП БОСҚА ӨЗДЕРИҢЕ КУНА АРТПАҢДАР АЛЛАҺ ҚҰДИРЕТТИ БАРИН КӨРУШИ БИЛУШІ ЖƏНЕ ЕСТУШИ. ОСЫ ЖАЛҒАН ӨМИРДЕДЕ АХИРЕТТЕ ЕШКИМ ЕШКИМ УШИН ЖАУАП БЕРМЕЙДИ СОНЫ ҰМЫТПАҒАНЫМЫЗ ЖӨН.",0
68,68.0,,مۇسلماندارغا ەڭ قاۋىپتى توپ ناماز وقىماسامدا جۇرەگىم تازا دەيتىن مۇرجي توبى، مۇرجيلار قىبلاغا قاراغان ياھۇدتاندا بەتەر،,0
69,69.0,,Алла ози сактасын сідік ірің иттерден малғұн иттер каншама жазыксыз жастарды құртып өмірлерін сындырып мрази баска елде отырп алып ірітіп шірітіп,0
70,70.0,,"Вахабиттер салафиттердңн ауыздарына ағызып,көттеріне ағаш  тығу керек.",0
71,71.0,,8 аз ондайларга 35 жыл беру керек болмаса манги баки бас бостандығына айыру керек типа такуа сымактар,0
72,72.0,,"Басы жоқ аяғы жоқ ,не қойылым,мағынасы бар бірақ дұрыс жеткізе алмадыңыздар",0
73,73.0,,Сақалдылар мен хиджап тағылар  адасқанда сақалсыздар мен жалаңбастар тура жолдама аузубилла қоғам қашан реттеледі екен,0
74,74.0,,"не увлекайтесь пацаны , это не игрушки",0
75,75.0,,Алла сактасын! жумактын килти ананын аягынын астында жумакты ешкайдан издемендеп дегенгой. каншалыкты аке шешеге ауыр. сондай болсын деп тарбие берген жокгой аке шеше. санасына бермесе аке шешенин жазыгы не. казактар ойланайык.,0
76,76.0,,казак жастары .))) казак елiнiн болашагы екенiмiздi естен шыгармайыкшы.ата анамызды ойлайык.,0
77,77.0,,дұрыс осындайдың алдын алу керек,0
78,,,Сирияда болып жатқан соғыс дұрыс соғыс капірлерге тағутарға қарсы соғыс болып жатыр қай ел өзіні мұсылман елміз дес бірақ ол елде шариғат заңымен басқармаса ол елді басқарып жатқандар тағут мүшрік есептеледі,0
79,,,Біреугедін көніліне  күлкі білеуіне мұң ұялататын корініс . Аллах адастырмасын бәрімізде бала бар жаман жазбаныздар,0
80,,,8жыл коршиси сол баягы халатпен жур))),0
81,,,Ои кешириниздер абаиланыздар,0
82,,,Абаила,0
83,,,Қойыңыздар бұл жерде ата ананың түк кінәсі жоқ ол ортаға байланысты олай анасының көзінше айтуға болмайды ана жүрегі көтермейді ондай сөзді оның орнына өздеріңізді қойып көріңіздер обал ғой кім болсада баласын жамандыққа қисын,0
84,,,Алла сактасн,0
85,,,Өздерің жұректерің ненің жақсы жаман екенін біледіғо не дін туралы бастарыңды қатырасыңдар тыныш өмір сүріңдершеіш семіздікті тек қойғана көтерген соны ұмытпаңдар,0
86,,,мəні жоқ мағанасы жоқ.Түсініксіз,0
87,,,Емшегі жабық ана табылмадыма,0
88,,,"Әкен өледі сакал өсірме ,аган өледі мурт өсірме деушеді бурынгы аталар   осындаи пәленін алдын алган екенгой,әдеп гурыпка салтсанага калкалай керек әитпесе  адасамыз ,салт гасырлар бойы сарапталган кодымыз гой осынын кашан кәдіріне жетеміз.",0
89,,,Не басы жок не аягы жок.режисерларымызда бир роликти тусиникте етип тусире алмайды ал киноларды айтпайак койайык,0
90,,,Оданда балык аулап журмисинба рахатко сол,0
91,,,Иман жүректе,0
92,,,Ата анасы кыйын болды аке шеше жылмасын,0
93,,,Бахабист  демендер.,0
94,,,Ай котти кысып жургенге не жетсин,0
95,,,Жазыксыз Ана байгус киналады.,0
96,,,тупой,0
97,,,Құдайым Аллам Жаратқан ием сақтай гөр.,0
98,,,Ана отирик сакал не ол биконсник,0
99,,,Актёрлар емес мыналар мен жаксы ойнаймын ба деп калдым гой,0
100,,,"Омиримде тойдан саркытсыз кайткан аке-шешени кордим,😂",0
101,,,"БАЛАҢА ДІНДІ ӨЗІҢ ҮЙРЕТПЕСЕҢ , ЕРТЕҢ  САУСАҒЫҢДЫ ШАЙНАЙСЫң.",0
102,,,сириямен соғысғанша еліңді қорға арамдар,0
103,,,"Кетші кырткан видео ғой, баскаша тусире алмадындарма ))) ай әйтеуір бурмалап тусиресиндер",0
104,,,"Осындай видиолар көп болса екен,<br>Қайдағы жоқ Америка мен Шет елдің ютубын дамытқанша осы өзіміздің Қазақтың дəрежесін көтерейік,<br>Дұрыс тəрбие бəрі-бəрі ата-анаға байланысты ойнайық бауырлар Сирияға кетіп адаспайықшы,<br>Өзіміздің ата-бабамыз оқыған Намаз жолымен жүрейікші!!!",0
105,,,Ассалаумагалейкум. Мен жакында Араб амирлигинде болдым. Ол жакта биздикилер секилди сакалдарын кылтитып журген мусылман жок.  Бир адам жок балагын кесип журген.,0
106,,,"ЕҢ БИРИНШИ ƏКЕ МЕН АНАСЫ ӨЗДЕРИ АЛЛАНЫҢ ДІНИН БИЛИП ШАРИҒАТПЕН ҰЛ ҚВЗДАРВНА ТƏРБИЕ БЕРИП ӨСИРСЕ БАЛДАРДА ҚЫЗДАРДА БЫЛЫҚҚАДА КУНАЛИ ИСТЕРГЕ ЖАМАНДЫҚТАРҒА АДАСЫП ӨЗГЕЛЕРГЕ ЕРИП КЕТПЕС ЕДИ. АЛЛАНЫҢ ИСЛАМ ДІНИ ОЛ ХАҚ ДІН МЕЙІРІМДІЛІК ПЕН ТЕК БЕЙБІТШИЛИККЕ ШАҚЫРАТЫН ДІН. УАХАБИСТТЕР ӨЗГЕ ҰЛТТАРДЫҢ ТЕРРОРИСТЕРИ ҚАЗАҚТАРДЫҢ ДІНИ БИЛИМСИЗДИГИН АТА АНАНЫҢ БАЛДАРЫН ҚАРАУСЫЗ ҚАЛДЫРҒАНЫН ПАЙДАЛАНЫП ЖАСТАРДЫ АДАСТЫРЫП ӨЗ МУДДЕЛЕРИНЕ ПАЙДАЛАНЫП ЖАТҚАН ИСЛАМ АТЫН ЖАМЫЛҒАН ҚОЙ ТЕРИСИН ЖАМЫЛҒАН ҚАСҚЫРДАЙ ИСЛАМ ДИНИНЕ  ЕШ ҚАТЫСЫ ЖОҚ БАР БОЛҒАНЫ ТЕРРОРИСТТЕРДІҢ САЯСАТЫ. АЛ БИЗДИҢ ЖАСТАРЫМЫЗ АҚИҚАТТЫ АЛЛАНЫҢ ИСЛАМ ДІНИН ІЗДЕП СОЛАРДЫҢ ҚҰРБАНЫ БОЛУДА. ДУНИЕ ЖУЗИНДЕ НЕ БОЛСАДА БАРИ САЯСАТ. СОНДЫҚТАН АРБИР АТА АНА ҰЛ ҚЫЗДАРЫНА ӨЗГЕДЕН УЙРЕНГЕНШЕ ӨЗДЕРИ УЙРЕНИП МЕШИТТЕН ИСЛАМ ДІНИН ИМАМДАРДАН ҚМДБ-НЫҢ ҰЛ ҚЫЗДАРЫНЫҢ ҚҰЛАҒЫНА ҚҰЙЫП САНАЛАРЫНА СИҢИРИП ОТЫРУЛАРЫ КЕРЕК. ИСЛАМ ДІНИН АТА АНАСЫНАН БИЛИП ӨСКЕН БАЛА  ХАҚТЫ ОЛ ЕШҚАШАН ӨЗГЕЛЕРГЕ ЕРИП САЯСАТТЫҢ ҚҰРБАНЫ ТЕРРОРИСТТЕРДИҢ ҚОЛ ШОҚПАРЫ БОЛЫП КЕТПЕЙДИ!!! АРБИР АТА АНА ӨЗ БАЛАСЫНА ЖАУАПТЫ ЕКИ ДУНИЕДЕДЕ ЖАҚСЫҒА УЙРЕТСЕ ЖАҚСЫНЫҢ УЛГИСИ БОЛА АЛСА ЖАҚСЫЛЫҒЫН ЖЕМИСИН КӨРЕДИ ЕШТЕҢЕ УЙРЕТПЕСЕ ЖАҚСЫ УЛГИ БОЛА АЛМАСА ТЕК ЗАРЫН ШЕГЕДИ. АЛЛАҺ ҚАСИЕТТИ ҚҰРАНДА ПЕНДЕЛЕРИН ТЕК ЖАҚСЫЛЫҚҚА БҰЙЫРЫП ҚАНДАЙ БҰЙРЫҚ ҚАНДАЙ ТЫЙЫМ БОЛСАДА, ЖАҚСЫЛЫҚҚА ШАҚЫРЫП ҚАНДАЙ АМАЛ БОЛСАДА БАРЛЫҚ ЖАМАНДЫҚ АТАУЛЫДАН ТЫЙЫП ҚОРҒАП ЕСКЕРТКЕН. ЕГЕР АЙЕЛ АДАМДАРҒА ЖАУЛЫҚ КИУГЕ БУЙЫРСА АЛЛАҺ ҚҰРАНДА БАРЛЫҚ КӨРСЕҚЫЗАРЛЫҚТАН ЗИНАДАН ҚОРҒАУ УШИН. ОДАН ҚОРҚАТЫН ЕШТЕҢЕ ЖОҚ ЖАУЛЫҚ ЖАПСА АРЫН САҚТАП АЛЛАНЫҢ БҰЙРЫҒЫН ОРЫНДАП ЖУР  АЙЕЛ ЗАТЫ. ЕРЛЕР САҚАЛ ҚОЙСА ЕРКЕК ЕКЕНИН АЙЕЛДЕН АЙЫРМАШЫЛЫҒЫ БАР ЕКЕНИН БИЛДИРИП ЖУР АРИНЕ ПАРЫЗ ЕМЕС АМАЛ БИРАҚ САҚАЛ ЕР АДАМНЫҢ ЕРКЕК ЕКЕНИН КӨРСЕТЕДИ. АЙЕЛ АДАМ ЕРКЕККЕ АЛ ЕР КИСИ АЙЕЛ АДАМҒА УҚСАМАУЫ КЕРЕК ИСЛАМ ДИНИНДЕ БАРЛЫҚ АДАМЗАТҚА ТИІСТИ АЙТЫЛҒАН ҚҰРАНДА АЛЛАҺ ЛАҒЫНЕТТЕГЕН ҚАРҒЫС БОЛСЫН ДЕГЕН ЕРКЕККЕ УҚСАП ЖУРГЕН АЙЕЛГЕ. АЙЕЛ КИСИНИҢ ЕР КИСИГЕ УҚСАП ЖУРГЕНГЕ. БҰЛ ЖЕРДЕ ЖУРИС ТУРИСЫ КИІМІ ТУР КЕЛБЕТИ ИС ҚЫЙМЫЛЫ БАРЛЫҒЫ КИРЕД.<br>ИСЛАМ ДІНИНЕ МҰСЫЛМАНДАРҒА ЖАЛА ЖАУЫП ҚАРАЛАП БОСҚА ӨЗДЕРИҢЕ КУНА АРТПАҢДАР АЛЛАҺ ҚҰДИРЕТТИ БАРИН КӨРУШИ БИЛУШІ ЖƏНЕ ЕСТУШИ. ОСЫ ЖАЛҒАН ӨМИРДЕДЕ АХИРЕТТЕ ЕШКИМ ЕШКИМ УШИН ЖАУАП БЕРМЕЙДИ СОНЫ ҰМЫТПАҒАНЫМЫЗ ЖӨН.",0
107,,,مۇسلماندارغا ەڭ قاۋىپتى توپ ناماز وقىماسامدا جۇرەگىم تازا دەيتىن مۇرجي توبى، مۇرجيلار قىبلاغا قاراغان ياھۇدتاندا بەتەر،,0
108,,,Алла ози сактасын сідік ірің иттерден малғұн иттер каншама жазыксыз жастарды құртып өмірлерін сындырып мрази баска елде отырп алып ірітіп шірітіп,0
109,,,"Вахабиттер салафиттердңн ауыздарына ағызып,көттеріне ағаш  тығу керек.",0
110,,,8 аз ондайларга 35 жыл беру керек болмаса манги баки бас бостандығына айыру керек типа такуа сымактар,0
111,,,"Басы жоқ аяғы жоқ ,не қойылым,мағынасы бар бірақ дұрыс жеткізе алмадыңыздар",0
112,,,Сақалдылар мен хиджап тағылар  адасқанда сақалсыздар мен жалаңбастар тура жолдама аузубилла қоғам қашан реттеледі екен,0
113,,,"не увлекайтесь пацаны , это не игрушки",0
114,,,Алла сактасын! жумактын килти ананын аягынын астында жумакты ешкайдан издемендеп дегенгой. каншалыкты аке шешеге ауыр. сондай болсын деп тарбие берген жокгой аке шеше. санасына бермесе аке шешенин жазыгы не. казактар ойланайык.,0
115,,,казак жастары .))) казак елiнiн болашагы екенiмiздi естен шыгармайыкшы.ата анамызды ойлайык.,0
116,,,дұрыс осындайдың алдын алу керек,0
